,Gene,EffectSize,StdEffect,P-Value,FDR,pBH
23210,ENSG00000261424,-0.04891216487749595,-0.11805420594549135,0.6078555883011181,False,1.0
23211,ENSG00000261425,0.04546830101480517,0.1721138111519218,0.4775789592358224,False,1.0
23212,ENSG00000261426,0.06098998538560054,0.11972439882352079,0.635010866723863,False,1.0
23213,ENSG00000261428,-0.07779266659667983,-0.2506874655328603,0.2626277230248941,False,1.0
23214,ENSG00000261436,0.006588624749021885,0.021539227715289863,0.9236141177157643,False,1.0
23215,ENSG00000261438,0.10733792246189187,0.275099412568908,0.2127313333304014,False,1.0
23216,ENSG00000261439,-0.00402712655276413,-0.008660412679698729,0.9646903051570068,False,1.0
23217,ENSG00000261442,0.007953412837611126,0.01715193456611323,0.9361620059922717,False,1.0
23218,ENSG00000261447,0.04446587429779887,0.1612502992285614,0.5064446788183875,False,1.0
23219,ENSG00000261451,-0.1348242335698463,-0.24106595538330047,0.32243331923514806,False,1.0
23220,ENSG00000261452,-0.13870184079909598,-0.3203172397677969,0.13018360818617897,False,1.0
23221,ENSG00000261455,-0.16200098569132942,-0.3670770024400865,0.06207897177522674,False,1.0
23222,ENSG00000261460,0.026948959658031905,0.08938997674822571,0.6686389808793689,False,1.0
23223,ENSG00000261461,-0.029855343966366226,-0.07160561047431767,0.7526593505006505,False,1.0
23224,ENSG00000261462,-0.0374180284775569,-0.1424869048022269,0.4952773060183683,False,1.0
23225,ENSG00000261471,0.018313856635476976,0.061248935277742875,0.7770408918095741,False,1.0
23226,ENSG00000261474,-0.056315427582083175,-0.13754699165066708,0.46552525549346846,False,1.0
23227,ENSG00000261476,0.02551976658843719,0.05891339547594725,0.772500517079009,False,1.0
23228,ENSG00000261478,0.07562509844019526,0.21808327332112962,0.3342212933392301,False,1.0
23229,ENSG00000261485,0.05450430108614643,0.22163974420724425,0.3393576203936882,False,1.0
23230,ENSG00000261488,0.11339094401210564,0.4310489607547807,0.04608079687589608,False,1.0
23231,ENSG00000261490,0.09179508906261291,0.2821644747381267,0.2030452249042024,False,1.0
23232,ENSG00000261496,-0.10066670054940113,-0.18499051272593137,0.3807774964296632,False,1.0
23233,ENSG00000261502,-0.12003463374568728,-0.29986811792240986,0.2042767692213332,False,1.0
23234,ENSG00000261505,0.17456119085349714,0.33688281368167017,0.11120036085922631,False,1.0
23235,ENSG00000261512,0.04626598487151149,0.20223034584443822,0.3763133489802184,False,1.0
23236,ENSG00000261513,-0.00010170899362169677,-0.00021623124620155426,0.9991133222824574,False,1.0
23237,ENSG00000261520,0.04587145324059685,0.08786976729821766,0.7333380782746642,False,1.0
23239,ENSG00000261528,0.1857975843484266,0.34028681801258703,0.11338724318631246,False,1.0
23240,ENSG00000261529,0.00760155865186041,0.010357922728085193,0.9619627265401834,False,1.0
23241,ENSG00000261533,-0.06267807807553938,-0.23716549014711735,0.31412207530160996,False,1.0
23242,ENSG00000261534,-0.06738942534710554,-0.1502017154220298,0.5093448004508665,False,1.0
23243,ENSG00000261537,0.060796939706229465,0.13918290867390984,0.5192865513246461,False,1.0
23244,ENSG00000261541,-0.01809286897188751,-0.08707845491279578,0.6577514399265441,False,1.0
23245,ENSG00000261542,0.03565420963979468,0.08784027852499494,0.6728000230000597,False,1.0
23246,ENSG00000261544,0.09917109568242248,0.15497664246475998,0.4862451574260156,False,1.0
23247,ENSG00000261546,0.06595992465247887,0.17858799975546313,0.3984363286569613,False,1.0
23248,ENSG00000261553,0.07290088545795635,0.15232535966225147,0.5150280541210512,False,1.0
23249,ENSG00000261556,0.13274849691612606,0.4162713599976133,0.062312297957059164,False,1.0
23250,ENSG00000261559,0.04935307978245483,0.19506889175689004,0.41616472693002904,False,1.0
23251,ENSG00000261560,-0.0693961753661242,-0.22089475256512858,0.31707820978501877,False,1.0
