,Gene,EffectSize,StdEffect,P-Value,FDR,pBH
799,ENSG00000062716,0.27710942471270583,0.5018597532627386,0.030987824819079156,False,1.0
800,ENSG00000062725,-0.06851918032327452,-0.19092661916169362,0.4683791476501289,False,1.0
801,ENSG00000062822,0.1319703997930075,0.3563818911156487,0.14459203811254204,False,1.0
802,ENSG00000063015,-0.20711092610362186,-0.40130266770456396,0.08357674291333461,False,1.0
803,ENSG00000063046,-0.06606459707567228,-0.17355839923815164,0.4757262602475094,False,1.0
804,ENSG00000063127,0.11337768951572895,0.42981549693288773,0.059358143173150406,False,1.0
805,ENSG00000063169,-0.11106614157532017,-0.19231837849181316,0.4277381543041344,False,1.0
806,ENSG00000063176,-0.2967992087795288,-0.6802127751220025,0.0025944288302016285,False,1.0
807,ENSG00000063177,0.060893351160042866,0.18475473937019232,0.41348534726344377,False,1.0
808,ENSG00000063180,-0.195518221247794,-0.28249948236958067,0.24675312979688035,False,1.0
809,ENSG00000063241,-0.14136832542029026,-0.4281845317332768,0.07893621215934919,False,1.0
810,ENSG00000063244,-0.07067035168367454,-0.24830352119750104,0.3154939343991784,False,1.0
811,ENSG00000063245,-0.12484934397006288,-0.24413546134185518,0.33029400129165076,False,1.0
812,ENSG00000063322,-0.050356346543349015,-0.1868754235194284,0.4623584504428808,False,1.0
813,ENSG00000063438,0.13107959972580915,0.31473326906313764,0.16658035271653915,False,1.0
814,ENSG00000063587,0.015597728336582474,0.07097149291039276,0.7871558220138642,False,1.0
815,ENSG00000063601,0.01106067728949329,0.04809412762585683,0.8525760348487121,False,1.0
816,ENSG00000063660,-0.1904701224022917,-0.3530325196491248,0.14304383496484266,False,1.0
817,ENSG00000063761,-0.14085145817282937,-0.4397309845936678,0.06592015739475164,False,1.0
818,ENSG00000063854,-0.27260028639695366,-0.6203518956134864,0.00665334215816786,False,1.0
819,ENSG00000063978,-0.0018993345194261372,-0.010474085726371955,0.9643360225243104,False,1.0
820,ENSG00000064012,0.17310166765519713,0.5298532414197882,0.021501915621806686,False,1.0
821,ENSG00000064042,-0.06227472749309223,-0.2562212102602269,0.30818421075787494,False,1.0
822,ENSG00000064102,0.011248826000241994,0.039819930007259294,0.8638862045346762,False,1.0
823,ENSG00000064115,-0.06682945783644609,-0.2201255578621129,0.37434099992311376,False,1.0
824,ENSG00000064199,0.046655979341813474,0.24310371870051073,0.32853480189543105,False,1.0
825,ENSG00000064201,-0.005606058326483536,-0.01644512069033423,0.9436960518042612,False,1.0
826,ENSG00000064205,0.02256251036279368,0.08327318718328897,0.7189148726057759,False,1.0
827,ENSG00000064218,-0.19651031453483228,-0.46894817226388474,0.05208065494857227,False,1.0
828,ENSG00000064225,-0.01150416479091964,-0.041982835766695425,0.8636489821058081,False,1.0
829,ENSG00000064270,0.1271256773783177,0.44970703302432175,0.05731054101918745,False,1.0
830,ENSG00000064300,0.32452176310056524,0.36620522230114044,0.1992371624452336,False,1.0
831,ENSG00000064309,-0.24905981938962865,-0.5171234262280747,0.02910984469737646,False,1.0
832,ENSG00000064313,-0.00020648667179531155,-0.000703678869321875,0.9976573824080706,False,1.0
833,ENSG00000064393,0.06095123206781297,0.08573628427837093,0.7218693555688057,False,1.0
834,ENSG00000064419,0.04011174435311845,0.13743229270916804,0.5865762048159036,False,1.0
835,ENSG00000064490,0.056959688285166364,0.16596508891433162,0.45490304500682377,False,1.0
836,ENSG00000064545,-0.07274283703913668,-0.268463359848392,0.2910841905536753,False,1.0
837,ENSG00000064547,0.09434884665443426,0.299354168600646,0.22942138519553112,False,1.0
838,ENSG00000064601,0.02391536456379058,0.08197711954985869,0.7526616026409785,False,1.0
839,ENSG00000064607,-0.14757041196943324,-0.5215973871049726,0.03357309826198972,False,1.0
840,ENSG00000064651,-0.20039490571135143,-0.44430191444022654,0.061875967917018465,False,1.0
841,ENSG00000064652,-0.01691227922565496,-0.06314394709528612,0.799239434420968,False,1.0
842,ENSG00000064655,0.2948366526499682,0.6479372343409936,0.005181104896798691,False,1.0
843,ENSG00000064666,0.2702603869911686,0.4620643051106999,0.06470994725218468,False,1.0
844,ENSG00000064687,-0.17936024845825907,-0.4298849563889312,0.06855928749604179,False,1.0
845,ENSG00000064692,0.032954447052778175,0.08222353648276279,0.7433486064604788,False,1.0
846,ENSG00000064703,0.06113035421988317,0.13526006228194284,0.5520913818848152,False,1.0
847,ENSG00000064726,-0.03700496620558572,-0.0764870679865171,0.7556165125071984,False,1.0
848,ENSG00000064763,-0.12541499664405195,-0.340941001163166,0.1576991641547172,False,1.0
849,ENSG00000064787,0.046060418572815294,0.050316549855003376,0.8339473412316498,False,1.0
850,ENSG00000064886,0.6728415399357903,0.5360900741438215,0.02825792357388453,False,1.0
851,ENSG00000064932,0.3438738693343441,0.4978288133755278,0.04066448757841933,False,1.0
852,ENSG00000064933,-0.04649463677385143,-0.15249391953955702,0.5552120822432971,False,1.0
853,ENSG00000064961,0.22304447979246095,0.4788848726413333,0.024218541018255626,False,1.0
854,ENSG00000064989,0.11671416498757395,0.231314850221266,0.30703432104507977,False,1.0
855,ENSG00000064995,-0.09204432226506445,-0.44058613689954085,0.07730218714992816,False,1.0
856,ENSG00000064999,-0.07645599494491302,-0.3155288002306409,0.20283388498458166,False,1.0
857,ENSG00000065000,-0.19981588895471458,-0.5806842380363739,0.01450776917258487,False,1.0
858,ENSG00000065029,-0.08117459174576519,-0.32621685140867895,0.1764782445946509,False,1.0
859,ENSG00000065054,-0.23759700703011266,-0.4785049135307249,0.043177559270756234,False,1.0
860,ENSG00000065057,-0.3481211956707228,-0.7497620567726244,0.0010030097011101663,False,1.0
861,ENSG00000065060,0.021400011907270682,0.10108548690683844,0.684910558952939,False,1.0
862,ENSG00000065135,0.2593287899713434,0.6666971582837824,0.0021659856528696087,False,1.0
863,ENSG00000065150,-0.09015044444757975,-0.22296016327756987,0.26737619300723037,False,1.0
864,ENSG00000065154,-0.1090926650763474,-0.19788743375210482,0.4347734824371493,False,1.0
865,ENSG00000065183,0.06865410451310137,0.17533562405854425,0.47296944677496655,False,1.0
866,ENSG00000065243,0.18488728991391262,0.5916691431255537,0.006320852414048704,False,1.0
867,ENSG00000065268,-0.16853031977993588,-0.3914137790672665,0.10051006754106362,False,1.0
868,ENSG00000065308,0.15304081072646095,0.457433447454779,0.06767230685168005,False,1.0
869,ENSG00000065320,0.15949096105451935,0.3327068450866826,0.17417691875262176,False,1.0
870,ENSG00000065325,0.2638088064735954,0.35597032234242126,0.17175327688290243,False,1.0
871,ENSG00000065328,0.14496206357458913,0.47908092266761565,0.052244310350934485,False,1.0
872,ENSG00000065357,0.11636621008588265,0.36038600068839133,0.14922098698005704,False,1.0
873,ENSG00000065361,-0.2967317230322188,-0.3876451600655405,0.10891615175921573,False,1.0
874,ENSG00000065413,-0.012976384547940594,-0.04252277818381485,0.8454770686797888,False,1.0
875,ENSG00000065427,0.04358863378532667,0.11875089718722696,0.6361208354370929,False,1.0
876,ENSG00000065457,-0.10275888127900813,-0.43993197711232934,0.06737626046435964,False,1.0
877,ENSG00000065485,0.11459163055458446,0.32349799961853465,0.1847925242162628,False,1.0
878,ENSG00000065491,-0.08856272881963556,-0.32989437416589174,0.10167307153580013,False,1.0
879,ENSG00000065518,-0.022466270039503237,-0.0597164029358239,0.8074376261765233,False,1.0
880,ENSG00000065526,0.032411432340777674,0.10937450546959264,0.6197378493270573,False,1.0
881,ENSG00000065534,0.01619310314379838,0.037310448444746964,0.8812573169195255,False,1.0
882,ENSG00000065548,-0.10159311673193236,-0.2368117876904008,0.3375162285605321,False,1.0
883,ENSG00000065559,-0.19045500332433485,-0.2882350566251778,0.24769784129184647,False,1.0
884,ENSG00000065600,-0.09861248701717502,-0.18992137533849618,0.8896174938343315,False,1.0
885,ENSG00000065609,-0.28466762553321995,-0.4261326872423056,0.07049214220045018,False,1.0
886,ENSG00000065613,-0.009057171073628616,-0.02926805877612532,0.8999956022271276,False,1.0
887,ENSG00000065615,-0.008417629188947744,-0.029823520801650783,0.8955661457994856,False,1.0
888,ENSG00000065618,0.067320019810949,0.24798495592230443,0.31445330162957086,False,1.0
889,ENSG00000065621,0.1729436259193546,0.5677114488212944,0.02313128160946378,False,1.0
890,ENSG00000065665,-0.04901228309699067,-0.1481102423932998,0.5419412487258798,False,1.0
891,ENSG00000065675,-0.1583343491233691,-0.3109430580548207,0.2233700190367769,False,1.0
892,ENSG00000065717,-0.1885906720002238,-0.33628389604729,0.15734815262601587,False,1.0
893,ENSG00000065802,-0.05282241871863448,-0.22333077816062674,0.3671067102902056,False,1.0
894,ENSG00000065809,-0.17627603853795037,-0.22542503713081524,0.3250439824757224,False,1.0
895,ENSG00000065833,0.20671381461321903,0.5327375719900104,0.028730098704581715,False,1.0
896,ENSG00000065882,0.08008399688014026,0.37565208630533525,0.1164997753869193,False,1.0
897,ENSG00000065883,-0.004619222885318095,-0.035855179056002814,0.8803020812208114,False,1.0
898,ENSG00000065911,0.45946675242687196,0.6258152791814537,0.00886086270500404,False,1.0
899,ENSG00000065923,-0.11975693669479057,-0.2449327258516765,0.3236836541847562,False,1.0
