,Gene,EffectSize,P-Value,FDR,pBH,FDR2,pBH2,FDR-2stage,P-2stage,-log10(pBH),Significant
28,ENSG00000002919,-0.11439486174536645,0.9089247869917962,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
29,ENSG00000002933,-0.5505516124421403,0.5819410867876287,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
30,ENSG00000003056,-0.6515567890872048,0.5146871309456946,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
31,ENSG00000003096,-0.6690949732784007,0.5034348963184565,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
32,ENSG00000003137,0.897404195754024,0.36950327448172315,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
33,ENSG00000003147,1.322915294549259,0.18586354846653086,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
34,ENSG00000003249,-0.33586623919565606,0.7369717368479286,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
35,ENSG00000003393,0.6941712620697224,0.4875748125733087,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
36,ENSG00000003400,0.16548521916779593,0.8685620828333723,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
37,ENSG00000003402,0.31585265062177226,0.7521143527341609,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
38,ENSG00000003436,-0.1511916694228718,0.8798245215923989,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
39,ENSG00000003509,-0.37468827603262744,0.7078923124918133,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
40,ENSG00000003756,-0.24455129537226442,0.8068038796694585,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
41,ENSG00000003987,1.2959749281410293,0.19498412282048427,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
42,ENSG00000003989,-0.4907352890120155,0.6236136839051429,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
43,ENSG00000004059,0.5437952339892081,0.5865823888879567,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
44,ENSG00000004139,0.19890192628255635,0.8423394626665804,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
45,ENSG00000004142,0.6853964387669528,0.49309379068341264,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
46,ENSG00000004399,-0.8507604706339446,0.3949024242200556,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
47,ENSG00000004455,0.21174906870753027,0.832302804694676,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
48,ENSG00000004468,0.05058972676924226,0.9596524491945538,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
49,ENSG00000004478,0.7857491603394009,0.4320144563541274,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
50,ENSG00000004487,0.29533147770432333,0.7677406725929024,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
51,ENSG00000004534,-0.7127998246620694,0.4759696341410633,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
52,ENSG00000004660,-0.5489394627248684,0.5830469951119199,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
53,ENSG00000004700,0.7326097249869866,0.463796497981935,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
54,ENSG00000004766,-0.08508191823900765,0.9321962653311131,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
55,ENSG00000004776,-1.5215396042443619,0.12812448058826356,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
56,ENSG00000004777,-1.3547610740088258,0.1754936923166025,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
57,ENSG00000004779,0.3805030014971459,0.7035720689353808,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
58,ENSG00000004799,-1.7899136928023016,0.07346778723317254,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
59,ENSG00000004838,-0.05076396916183312,0.9595136022837163,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
60,ENSG00000004864,0.9262790139934223,0.3543009991496856,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
61,ENSG00000004866,-0.07816568305147063,0.9376962594264436,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
62,ENSG00000004897,0.42752540807985345,0.6689966828780769,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
63,ENSG00000004939,0.031700581529995144,0.9747108311272179,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
64,ENSG00000004961,0.9587191019189402,0.33770027278491666,False,1.0,False,0.9983446855391857,False,1.0,-0.0,False
