SNRNP200
LINC00705 - AKR1E2
RNU6-163P - MANCR
MANCR
MANCR
MANCR
LINC00705 - AKR1E2
RNU6-163P - MANCR
MANCR
LINC00705 - AKR1E2
RNU6-163P - MANCR
MANCR
LINC00705 - AKR1E2
RNU6-163P - MANCR
RNU6-163P - MANCR
MANCR
LINC00705 - AKR1E2
LINC00705 - AKR1E2
LINC00705 - AKR1E2
LINC00705 - AKR1E2
LINC00705 - AKR1E2
LINC00705 - AKR1E2
LINC00705 - AKR1E2
MANCR
RNU6-163P - MANCR
MANCR
MANCR
MANCR
LINC00705
LINC00705 - AKR1E2
LINC00705 - AKR1E2
MANCR
LINC00705
LINC00705 - AKR1E2
MANCR
MANCR
LINC00705 - AKR1E2
LINC00705 - AKR1E2
SHC4
KRT8P24
CPM
CPSF6
Y_RNA
RPL7AP32
LINC02853
RPL8P4
ANAPC15P2
VCAN
HAPLN1
EEF1A1P14
RPL23AP22
C6orf118
RN7SL366P
ADCYAP1R1
NEUROD6
SHC4
LAPTM4A-DT
LINC02629
PARD3
DVL3
PARP15
TRPS1
LINC02514
LINC02374
ZCCHC14
LINC00578
RPS7P13
KAT7P1
ATP6V1B2
SP4
GRM7
LY86-AS1
LY86
LINC01517
LYZL1
MKLN1
LINC01812
LINC02831
HSPA8P5
PARP11-AS1
TIGAR
CCND2
SUNO1
KCTD15
DMRT1
KCNH5
ESRRG
LINC02103
PURPL
ITGA11
ANKRD27
GMPR
LINC02782
MIR4689
ZNF608
LINC01170
IL12A-AS1
LINC01845
LINC01847
RASGEF1B
RPL21P62
RPL7AP36
FTLP15
IGFBP3
AK8
PCDH1
ARAP3
ENOX1
RN7SL484P
LYSMD4
PWWP2AP1
ARF4P4
EMP1
LINC01559
RFPL4A
NLRP9
LINC02516
TECRP2
MYO10
AUTS2
GALNT17
BTF3P9
TUBB8P10
PIEZO2
LINC01068
LINC01038
PPIAP76
TUBAP10
U3
ARHGEF37
SPTLC1P2
RNU6-1060P
GRIN2B
LINC02488
LINC02038
LINC02026
RN7SKP222
FGF12
FMN1
TMCO5B
RPL29P16
MRPL14
PCGEM1
SLC44A3P1
TIMM17BP1
LINC02378
LINC02473
HNRNPA1P65
ACO2P1
LINC01643
KCTD15
SUNO1
LINC00973
NVL
CNIH4
LOHAN2
ZFHX3
C3orf70
EHHADH-AS1
RNA5SP455
SYT4
LINC02132
LINC01082
CCBE1
RNU4-71P
SLC25A37
RPL12P8
RNU6-523P
LHPP
LPGAT1
STUM
ITPKB
OR2T12
TMEM150B
PRR5-ARHGAP8
ARHGAP8
MUC5B
MAB21L4
TRIO
ANO8
KRBA1
BCAR3
UNC13D
ORAI1
ADGRE2
CNTNAP1
LILRA1
FASN
MYH13
MYHAS
SLC2A8
ATXN7L2
LINC01684
Y_RNA
GNAI3
PCARE
TOGARAM2
PTPRG
FHIT
ATXN8OS
RNU6-54P
GDNF-AS1
DSEL-AS1
SORCS3
DRD2
TMPRSS5
GRM5
SLC15A5
DERA
PCDH9
TDRD9
YLPM1
ERCC4
TMF1P1
AATK
BAIAP2
MED24
TCF4
DCC
CELF4
SLC12A5
RNU6-636P
RNA5SP43
NBAS
RPSAP2
LINC00533
POLR1HASP
ZNF184
TMEM106B
AKAP8P1
JKAMPP1
CCDC73
TCF4
LINC01415
CHADL
LINC01360
RN7SKP19
KIF1A
NIHCOLE
RNU6-334P
CHSY3
LINC01623
NOP56P1
LINC01012
GPR89P
ASCC3
SIM1
HCG22
MUC22
HMGN4
ABT1
TAP2
THSD7A
TMEM106B
TUSC1
RN7SKP120
CELF2
TMPRSS5
DRD2
CHORDC1
KRT8P21
LINC02796
GRIK3
FTLP18
SGIP1
TYW3
LHX8
RNU6-334P
NIHCOLE
KIF2A
RN7SKP157
LINC03003
ZKSCAN8P1
ZKSCAN8
ABCF1
LINC00240
LARRPM
CTTNBP2
LSM8
BUB3P1
EIF3IP1
TERF1
KCNB2
-
PSAT1
MTND2P8
RN7SKP120
TUSC1
LINC02796
KRT8P21
RNU6-636P
MIR4255
SLC44A5
H3C12
H4C13
ABT1
LSM8
CTTNBP2
BNC2
RN7SL720P
LINC01416
LINC01415
NOP56P1
RPSAP2
HLA-F-AS1
HCG20
LINC00243
FOXP2
KCNB2
TERF1
MSRA-DT
XKR6
FAM120A
CLP1
MDGA2
RPL10L
ARL17B
MAPK8IP1P1
LINC02796
LINC03051
LSAMP
H3C9P
H4C8
PPIL1
LTB
TNF
GABBR1
ZSCAN12
ZNF204P
ZNF391
THRA
COP1-DT
GPM6A
ADGRG6
HIVEP2
SAMD5
MCFD2P1
ZNF184
LINC02571
YLPM1
FCF1
NPAS3
ATP5PFP2
RSPH14
LINC02152
RBFOX1
NOS2
BPTF
GAPLINC
DLGAP1
LINC01275
ASH1L
U3
NMNAT1P2
FAM78B
FMO7P
EPCAM
MIR217HG
PRR23E2P
Y_RNA
RNU6-34P
RNU6-1059P
LINC02233
LINC02477
ARSB
RN7SKP60
LINC01938
LINC-PINT
ARHGEF10
KBTBD11-OT1
CSMD1
ZHX2
DNAJC12
MRGPRX11P
MRGPRX10P
TRAV25
TRAV24
ASTN1
RN7SKP157
KIF2A
LINC03000
LINC00243
TNXB
CTTNBP2
BRINP1
LINC01613
PTCH1
CNTNAP5
BTN3A1
TMEM132B
RPS27P20
LINC01395
FTLP18
GRIK3
RTN4
CDC42BPB
RNU6-788P
RNU6-922P
RNU6-461P
RNU1-43P
SPINK4
B4GALT1-AS1
CAMTA1
MIR548AE1
CACYBPP2
MAD1L1
POLR1F
FERD3L
TMEM161B
ADI1P1
ZHX3
EP300
ACTBP15
RN7SL618P
ZNF646P1
RSRC1
VRK2
ACTG1P22
TMCO5A
Metazoa_SRP
RBFOX1
CHD7
SLC6A15
RPL6P25
TMEM161B-DT
VRK2
L3MBTL2-AS1
L3MBTL2
MEF2C-AS2
RERE
LIN28B
OLFM4
PAX5
HMGB1P18
HNRNPA1P64
MLF1-DT
CARM1P1
OPA1
SIM1
PRDX2P4
DCDC1
LINC01645
PCDHA4
PCDHA3
PCDHA1
PCDHA2
PCDHA5
PCDHA6
PCMTD1
SPPL3
CASC22
PLCG1
PAUPAR
DENND1B
MGAT4B
GNL1
LINC01701
BRINP3
LARGE1
ITPR2
SF3B1
MIR924HG
DENND1A
ZNF536
LY75
LY75-CD302
LINC02787
RNU6-695P
RGS7
FH
EBF2
CDCA2
PIPOX
RN7SL366P
C6orf118
MIR548AI
FBXL4
TUBGCP6
NIHCOLE
BTN3A2
VN1R11P
LARRPM
MIR3143
RPL10P2
H1-5
H3C11
ZSCAN16-AS1
OR2W4P
PGBD1
LINC00533
RPSAP2
ZNF90P2
HCG14
OR5V1
LINC01015
LINC02829
HLA-F-AS1
ZFP57
POLR1HASP
POLR1H
TRIM26
ATAT1
FLOT1
HCG21
SFTA2
MUCL3
LINC02315
LRFN5-DT
LRFN5
FBLN5
TRIP11
RPL23AP54
RN7SL318P
RPL7P44
ACOD1
MICAL2
CCDC26
DMD
GUSBP2
ZNF322
ZSCAN16
ZSCAN16-AS1
OR5AZ1P
OR5BA1P
FURIN
LINC01360
SLC17A1
CNNM2
LINC02305
MTND4P33
LINC02569
HLA-E
TMEM229A
SSU72L6
RSPH14
FER
OLFM4
LINC01065
Y_RNA
LINC02549
DNAH7
STK17B
TRIB2
LINC00276
EGLN3
MCMBP
FAM135B
ZYXP1
ZFPM2
FTH1P5
TIAL1P1
LINC01128
SUPT4H1
TSPOAP1-AS1
ASXL3
NOL4
MIR7515HG
LINC00487
LINC01036
CD36
SEMA3C
COL11A1
OLFM3
MON1B
LINC02125
TSPAN33
TMEM220-AS1
RN7SL601P
MANEA
KRT18P50
GRIK2
CATSPERD
KCNH8
TRPM3
Y_RNA
ZMYM4
TUBBP9
TDRG1
KCNQ3
OPCML
CCND2-AS1
HSPA8P5
FXNP1
ADCK1
PRIMA1
LYSMD2
RPL10AP3
LINC01288
MTCO3P27
MTCYBP16
TRIM63
SLC30A2
EPHA7
MTCYBP36
LINC01016
ZNF80
TIGIT
RNU6-857P
MIR302F
PFDN1
CYSTM1
LINC03003
OR2N1P
KRT8P20
CFAP144P1
RN7SL720P
BNC2
ZCCHC7
ASTN2
METTL15
LINC02758
DAGLA
SPTBN2
LINC02763
NCAM1
ACVR1B
B3GLCT
HS6ST3
ELAVL4
NRDC
COP1
HNRNPA1P46
LINC01720
LINC01830
MYOSLID
ERBB4
ZKSCAN7-AS1
SOCS5P3
BSN
FHIT
ARB2A
ADH5P4
NUFIP1P1
RNU7-66P
NUFIP1P1
HIVEP2
ADGRG6
ESR2
AREL1
TRAF3
BAG5
RNU7-160P
SEMA6D
MEGF11
MRPL46
NTRK3-AS1
METTL9
CELF4
MIR4318
KC6
NPM1P1
CCDC68
LINC01929
TCF4
TCF4-AS1
LINC01415
LINC01416
KCNG2
NCOA5
MIRLET7BHG
DRD2
MARK3
ACTL8
AGBL4
LINC02619
EIF3IP1
BUB3P1
TTC12-DT
ZDHHC21
H3P34
FOLH1B
LINC01392
POLR2DP2
HNRNPA1P64
HMGB1P18
SAMD3
INSYN1
INSYN1-AS1
SOX6
KDM4B
UHRF1
SIM1
ASCC3
IFT81
RPL19P11
HPRT1P2
NTRK2
LIN28B-AS1
NPM1P1
KC6
RNF103-CHMP3
CHMP3
MYH15
MIR4432HG
RNA5SP94
LINC02240
RTN1
LINC01876
NAA11
LINC01088
TENM2
DCDC2
TLR4
TPT1P9
ZNF638
LINC02429
STMND1
ATXN1-AS1
MTHFD1
NOL4
ASXL3
TCF4
RNA5SP459
RALGPS1
ZMYND8
PRR16
TOX
SPRY2
LINC01080
MIRLET7BHG
PRR34
RN7SKP46
SLC66A1LP
SNX29
TAL1
GALNT2
NRXN1
NRXN1-DT
LINC01965
CAPZBP1
PSMD14-DT
TKT
PRKCD
TRMT10C
ARB2BP
SPATA16
NLGN1
CCSER1
CABP1-DT
LSAMP
LINC03051
EBLN3P
TSHZ2
RPL36P1
CYP7B1
LINC01822
RN7SL117P
KLHDC8B
ATP13A4
LINC02484
SEC63P2
LINC02955
LSAMP
SNRPFP3
ZDHHC20P4
RNU1-101P
H2AZP2
SOX5
TAOK3
RASGRP1
SLC30A9
LHX2
NEK6
ADARB1
P2RX7
ESR1
RNU6-832P
RNA5SP231
ELAVL2
HTT
CHD6
LRFN5-DT
RNA5SP94
MIR4432HG
CIBAR1-DT
LINC02740
HNRNPKP3
GNAO1
KLC1
SGCZ
ACADS
SPPL3
EP300
EP300-AS1
GTF2IRD1
Y_RNA
CXCR5
LINC02479
LINC02465
CNTN5
RNU6-1103P
PALS2
ZBTB20
LNPK
EXTL2P1
VWC2L
ENSAP3
KIF15
FBXL17
IGSF6
METTL9
MIR9-2HG
LINC01929
CCDC68
PCDHA1
PCDHA6
PCDHA3
PCDHA4
PCDHA5
PCDHA2
RPL6P25
SLC6A15
STK24
LINC02712
KIRREL3-AS3
CDH9
LINC01507
RBMS1
RN7SL423P
Metazoa_SRP
TMCO5A
NCOA5
RPL13P2
HOXD13
EVX2
RAPSN
SLC25A6P2
HSPA8P17
XYLT1
RPL7P47
ACTR5
PPP1R16B
GIGYF2
FADS1
FADS2
GRIA1
HSPE1-MOB4
MOB4
ACTG1P22
VRK2
LUZP2
BMERB1
CIR1
IGIP
CYSTM1
MFAP3L
AADAT
RNA5SP70
CACNA1E
RAB27B
SHISA9
DAND5
HAFML
SPCS3
LYPLA2P1
RPL35AP4
LINC00336
RPL26P20
H3P27
NKAIN2
DPY19L1P2
LINC00997
PCLO
SEMA3E
CNOT4
MSRA
MSRA
LINC03022
LZTS1
TMEM97P2
ZFHX4-AS1
TRIM8
TCF7L2
RNU7-165P
B4GALNT4
QSER1
LTBP3
ANKK1
TAMALIN
ACVR1B
ENTREP2
USP3
LINC02205
RNU6-745P
LINC02179
C16orf78
LINC01572
PMFBP1
CDH13
PER1
ASIC2
ARFGEF2
IL2
IL21
ZNF204P
H4C4
H3C4
TMEM258
MAML3
LINC01493
RNU6-99P
LINC00899
WNT7B
BTN1A1
BTN1A1P1
OTX2-AS1
CNTLN
TLR4
ZNF804A
PGBD1
SMIM15P2
OR5V1
DDX6P1
RNF103-CHMP3
CHMP3-AS1
EIF2S2P7
ACTG1P22
EXD3
STK24
FARP1
ARB2A
POU5F2
LINC01065
OLFM4
RPL11P5
CABP1-DT
ZBTB34
INSYN1
CD276
DUSP13B
DUSP13A
CTDSP2
ATP23
LINC02441
LINC02369
DYNLL1P3
KLHDC7A
CDCA7L
RAPGEF5
PDGFDDN
RNF213
TIAL1P1
FTH1P5
RNY3
RNY4
UFL1-AS1
CLHC1
RTN4
Y_RNA
RNU6-340P
WBP2NL
CTB-1I21.1
RN7SL299P
DISC1
PPIC-AS1
RN7SL711P
RNU7-26P
OR2B2
FGF18
SMIM23
LINC01428
LINC01751
